,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
523,CHEMBL311400,CC12CCC=CC1=CC(=O)C1C2CCC2(C)C1CC[C@@H]2O,inactive,286.41499999999996,3.655200000000003,1.0,2.0,4.37674967556885
526,CHEMBL88842,CCCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,246.30999999999997,1.9462,1.0,3.0,5.397929151445704
528,CHEMBL24387,CC(C)[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,328.4960000000001,4.969500000000005,0.0,2.0,5.958567835319735
530,CHEMBL421491,CC12CCC3C(C(=O)C=C4CCCCC43CO)C1CCC2O,inactive,304.43,2.8516000000000017,2.0,3.0,3.8538716541115283
531,CHEMBL71082,CC12CCC3C4CCCCC4=CC(=O)C3C1CCC2=O,inactive,272.388,3.697300000000003,0.0,2.0,4.552840417608829
532,CHEMBL323585,CC(C)CCOC(=O)Cc1ccncc1,inactive,207.273,2.2134,0.0,3.0,4.928114312247758
533,CHEMBL316262,CCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,active,302.418,3.458700000000002,0.0,3.0,5.180449484288558
534,CHEMBL90856,CCCCCCCCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,inactive,358.526,5.019100000000004,0.0,3.0,4.999995657076895
536,CHEMBL68674,CC12CCCCC1=CCC1C2CCC2(C)C(O)CCC12,inactive,274.44800000000004,4.700200000000005,1.0,1.0,4.522877297634477
537,CHEMBL335408,CC12CCC3C(C1CCC2=O)[C@H](Sc1ccccc1)CC1=C(Oc2ccccc2)C(=O)CCC13C,active,486.67700000000036,7.264900000000007,0.0,4.0,5.782489735705973
538,CHEMBL25473,CC(C)[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,328.4960000000001,4.969500000000005,0.0,2.0,5.8538409443951815
539,CHEMBL1630911,C[C@]12CC[C@H]3[C@@H](CC=C4CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.431,3.8808000000000025,1.0,2.0,5.161144615185427
542,CHEMBL328546,CCCCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,inactive,274.36400000000003,2.6785000000000014,0.0,3.0,4.39793892293719
543,CHEMBL105289,O=C(Cc1ccncc1)OC1CCCC1,active,205.25699999999992,2.1098999999999997,0.0,3.0,5.638253282024103
544,CHEMBL444844,CCC[C@]1(c2ccncc2)CCC(=O)NC1=O,active,232.28299999999996,1.5560999999999998,1.0,3.0,5.22184151143531
546,CHEMBL102510,CC(C)OC(=O)Cc1ccncc1,inactive,179.21900000000002,1.5756999999999999,0.0,3.0,4.698967832869038
547,CHEMBL70367,CC12CCC3C(C(=O)C=C4CCCCC43C)C1CCC2=O,active,286.41499999999996,4.087400000000003,0.0,2.0,5.74470336809566
548,CHEMBL302305,CC12CCC3C(C(=O)C=C4C=CCCC43C=O)C1CCC2=O,inactive,298.38200000000006,3.0424000000000015,0.0,3.0,4.958603366728068
551,CHEMBL327239,CCN1C(=O)CC[C@](CC)(c2ccncc2)C1=O,inactive,246.31,1.8983,0.0,3.0,3.4145391576877526
552,CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,531.4399999999999,4.205800000000003,0.0,7.0,4.402303717372635
553,CHEMBL328863,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,531.4399999999999,4.205800000000003,0.0,7.0,4.416800092104706
554,CHEMBL319160,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,active,531.4399999999999,4.205800000000003,0.0,7.0,5.400106016141739
555,CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,inactive,531.4399999999999,4.205800000000003,0.0,7.0,3.9586069200287892
556,CHEMBL28880,Nc1ccc(C2CCC(=O)NC2=O)cc1,inactive,204.229,0.7889999999999999,2.0,3.0,3.5228786005155346
558,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.431797102165721
